genes	logFC	logCPM	LR	PValue	FDR
CERS6-AS1	0.230358247015716	7.00706021301498	0.514939465646513	0.473008381593487	1
AC099550.1	0.74192224637999	4.01589281928393	0.514054682111407	0.473388863562907	1
AC005306.1	0.205219296452385	8.00189976861065	0.513909012205314	0.473451553275274	1
AC106820.5	-0.585786691662362	4.26486452027018	0.513673285491738	0.473553027848108	1
AC091814.1	0.737607686913738	4.01150506800503	0.512879366355566	0.473895049994021	1
AC008124.1	-0.191955568107794	9.16752994421303	0.512740761877279	0.473954802176022	1
AC096734.2	0.60930584853364	3.89143925079139	0.512548574865061	0.47403767392526	1
AL138756.1	0.229792580362945	6.90016190187398	0.51245084110483	0.474079826098072	1
AC062004.1	-0.442776755305387	4.63424982072777	0.512339050950111	0.474128048191088	1
AC004477.3	0.680640655638208	4.06400982282299	0.5121011511605	0.47423069575278	1
AD000671.3	0.335346344238298	5.33938105959264	0.511966542747167	0.474288791748572	1
OGFRP1	-0.247753445500151	6.3782148484269	0.511783385178759	0.474367859749214	1
TPRG1-AS2	-0.694615161368436	4.11329577284183	0.511781355258123	0.47436873617336	1
AC254633.1	0.245987651249903	6.52558888283893	0.511745779118783	0.474384096701712	1
AC130352.1	0.598577264137678	3.89519842470005	0.508860062474294	0.47563274310698	1
HCG11	0.256513785924179	6.24064117113497	0.508538826313544	0.4757720720004	1
AL136366.1	-0.68482985048899	4.11388197576247	0.508085225919249	0.475968923967166	1
AL391863.1	0.455895818951079	4.6733357898136	0.507999229277452	0.47600625944249	1
AL390728.6	-0.28027440723662	6.03093668015243	0.50753035276761	0.476209906220343	1
AL117379.1	0.345555055290749	5.21677852268831	0.507436782884405	0.47625056333037	1
AL603839.2	0.68666640107801	3.938358250999	0.506834455668811	0.476512416250824	1
AC080112.3	0.241502002998202	6.58829596738447	0.506727515278115	0.476558931524927	1
AL023806.3	-0.433376359412132	4.66349493883792	0.50670231722556	0.476569892859976	1
AC105101.1	-0.594440728029406	3.8641791517401	0.506371914443488	0.476713658464817	1
AC022113.1	0.548442631981273	4.35822156655126	0.506155185351538	0.476808000494978	1
SMURF2P1-LRRC37BP1	-0.355960570627637	5.13784144907555	0.505464289519232	0.47710895017986	1
AP001099.1	-0.574496493921937	4.25164920194847	0.505391547331886	0.477140654214262	1
AC106886.3	-0.698874795726175	3.94403476403457	0.50426974322777	0.477630017911423	1
LINC00596	-0.637767701247567	3.90798230833361	0.503803601376795	0.477833603456032	1
AC026333.4	0.710222459363918	3.95542951799128	0.503450037426457	0.477988115541376	1
AC007292.1	-0.246248829794797	6.40528811623252	0.502900641396621	0.478228370740579	1
LINC02193	-0.573144252037618	4.23749216657485	0.5025876363927	0.47836533849736	1
